"","unlist.out..use.names...T."
"summary.Method1","GSA"
"summary.Method2","PADOG"
"summary.Method3","myRand"
"summary.p geomean.GSA","1.31037069710445e-06"
"summary.p geomean.PADOG","0.0123310603716523"
"summary.p geomean.myRand","0.423372725027191"
"summary.p med.GSA","0.15"
"summary.p med.PADOG","0.05"
"summary.p med.myRand","0.293605549028143"
"summary.% p.value<0.05.GSA","33.33"
"summary.% p.value<0.05.PADOG","33.33"
"summary.% p.value<0.05.myRand","0"
"summary.% q.value<0.05.GSA","33.33"
"summary.% q.value<0.05.PADOG","33.33"
"summary.% q.value<0.05.myRand","0"
"summary.rank mean.GSA","22.4977043158861"
"summary.rank mean.PADOG","7.96703296703297"
"summary.rank mean.myRand","49.1758241758242"
"summary.rank med.GSA","23.9669421487603"
"summary.rank med.PADOG","7.96703296703297"
"summary.rank med.myRand","29.3956043956044"
"summary.p Wilcox.1","1"
"summary.p Wilcox.2","0.125"
"summary.p Wilcox.3","1"
"summary.p LME1","1"
"summary.p LME2","0.0431873585583422"
"summary.p LME3","0.938513325873688"
"summary.coef. LME1","0"
"summary.coef. LME2","-14.5306713488532"
"summary.coef. LME3","26.678119859938"
"ranks.GSA1","33.6088154269972"
"ranks.GSA2","23.9669421487603"
"ranks.GSA3","9.91735537190083"
"ranks.PADOG1","11.2637362637363"
"ranks.PADOG2","4.67032967032967"
"ranks.PADOG3","7.96703296703297"
"ranks.myRand1","88.7362637362637"
"ranks.myRand2","29.3956043956044"
"ranks.myRand3","29.3956043956044"
"pvalues.GSA1","0.15"
"pvalues.GSA2","0.15"
"pvalues.GSA3","0"
"pvalues.PADOG1","0.15"
"pvalues.PADOG2","0.00025"
"pvalues.PADOG3","0.05"
"pvalues.myRand1","0.880319068906829"
"pvalues.myRand2","0.293605549028143"
"pvalues.myRand3","0.293605549028143"
"qvalues.GSA1","0.446311475409836"
"qvalues.GSA2","0.625862068965517"
"qvalues.GSA3","0"
"qvalues.PADOG1","0.947318611987382"
"qvalues.PADOG2","0.00535294117647059"
"qvalues.PADOG3","0.587096774193548"
"qvalues.myRand1","0.988670450191019"
"qvalues.myRand2","0.914515879020569"
"qvalues.myRand3","0.914515879020569"
